# Agent-reviewed boundary routing; not a blanket compatibility verdict.
# Occurrences: regenerate with v029-audit-profile.json. Evidence and limits: v029-port.md.
group_id	kind	symbol	checklist_ids	qualification_scope	rationale
boundary-group-72838083898a	config_attribute_candidate	config.n_embd	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-3998fa82947b	config_attribute_candidate	config.n_inner	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-f336b77ff87b	config_attribute_candidate	config.num_attention_heads	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-5cc3b13674ea	config_attribute_candidate	config.num_experts	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-d9a838a572a4	config_attribute_candidate	config.num_hidden_layers	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-323be5a60cfc	config_attribute_candidate	config.num_key_value_heads	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-1741c34ed819	config_attribute_candidate	config.parallel_config	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-c7f4fb1d37bf	config_attribute_candidate	config.qkv_bias	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-635b303b3f77	config_attribute_candidate	config.reorder_and_upcast_attn	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-7cee52202988	config_attribute_candidate	config.rms_norm_eps	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-fc4555d514f8	config_attribute_candidate	config.rope_parameters	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-ce4906d56e0e	config_attribute_candidate	config.scale_attn_by_inverse_layer_idx	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-d759ef6b3185	config_attribute_candidate	config.shared_expert_intermediate_size	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-fdef13b0d7ef	config_attribute_candidate	config.sliding_window	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-4266424018d4	config_attribute_candidate	config.speculative_config	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-c87de3b18334	config_attribute_candidate	config.target_layer_count	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-b7d843f93baa	config_attribute_candidate	config.text_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-02c192bb382b	config_attribute_candidate	config.text_config.hidden_size_per_layer_input	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-0af908f0116d	config_attribute_candidate	config.text_config.num_hidden_layers	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-8953b07a0af3	config_attribute_candidate	config.tie_word_embeddings	C02,M02,M10,N04	CPU/source; GPU cells only as listed in v029-port.md	Tied LM heads use upstream tie_weights; retain vocabulary-sized logits.
boundary-group-ba504ad70020	config_attribute_candidate	config.vision_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-fd9a336d8f79	config_attribute_candidate	config.vision_config.deepstack_visual_indexes	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-6f4440e475a3	config_attribute_candidate	config.vision_config.out_hidden_size	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-08754d82e493	config_attribute_candidate	config.vocab_size	C02,M02,M10,N04	CPU/source; GPU cells only as listed in v029-port.md	Tied LM heads use upstream tie_weights; retain vocabulary-sized logits.
boundary-group-c40c0706a22d	config_attribute_candidate	model.config.first_k_dense_replace	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-55db4c4b7021	config_attribute_candidate	model_config.dtype	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-487e03d3dfb8	config_attribute_candidate	model_config.hf_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-4f77f9bb2a96	config_attribute_candidate	model_config.use_mla	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-4aa31056ea73	config_attribute_candidate	model_runner.model_config.is_encoder_decoder	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-26f02d29a378	config_attribute_candidate	multimodal_config.is_multimodal_pruning_enabled	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-34f9839c1493	config_attribute_candidate	multimodal_config.mm_encoder_tp_mode	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-0933ff13d631	config_attribute_candidate	parallel_config.pipeline_parallel_size	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-0ac31f0db975	config_attribute_candidate	parallel_config.tensor_parallel_size	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-d60c3b6aa99f	config_attribute_candidate	quant_config.get_name	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-ba3819220d5a	config_attribute_candidate	runner.moe_config.moe_parallel_config	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-14ece3404d6c	config_attribute_candidate	runner.moe_config.moe_parallel_config.use_all2all_kernels	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-86a52b4d51b7	config_attribute_candidate	runner.moe_config.pcp_size	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-1f05b32ae3d7	config_attribute_candidate	self.config.embedding_multiplier	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-b6f8e674ea7c	config_attribute_candidate	self.config.first_k_dense_replace	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-c3269d8ce329	config_attribute_candidate	self.config.hidden_size	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-d5f228857f5e	config_attribute_candidate	self.config.layer_types	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-19d8c731feac	config_attribute_candidate	self.config.max_model_len	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-339bd57c3bc9	config_attribute_candidate	self.config.num_hidden_layers	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-cd4d9214dbc0	config_attribute_candidate	self.config.scale_depth	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-0f9b8e97c520	config_attribute_candidate	self.config.tie_word_embeddings	C02,M02,M10,N04	CPU/source; GPU cells only as listed in v029-port.md	Tied LM heads use upstream tie_weights; retain vocabulary-sized logits.
boundary-group-ba53334bcec2	config_attribute_candidate	self.config.vocab_size	C02,M02,M10,N04	CPU/source; GPU cells only as listed in v029-port.md	Tied LM heads use upstream tie_weights; retain vocabulary-sized logits.
boundary-group-28c2e29f01e0	config_attribute_candidate	self.multimodal_config.video_pruning_rate	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-a754d9812965	config_attribute_candidate	self.vllm_config.additional_config	C03	CPU/source; GPU cells only as listed in v029-port.md	Preserve public DMI options and environment fallback.
boundary-group-e9079c07ba47	config_attribute_candidate	self.vllm_config.compilation_config	C05,G02,G04,G06	CPU/source; GPU cells only as listed in v029-port.md	Resolved compile/graph settings; SP/multi-rank GPU cells remain unqualified.
boundary-group-590952e1f920	config_attribute_candidate	self.vllm_config.model_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-a27f7cb5fe16	config_attribute_candidate	self.vllm_config.model_config.head_dtype	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-bf7840f98911	config_attribute_candidate	self.vllm_config.model_config.hf_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-aedb379399c7	config_attribute_candidate	self.vllm_config.model_config.model	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-7335c26d0d77	config_attribute_candidate	self.vllm_config.parallel_config	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-d3676d720c11	config_attribute_candidate	self.vllm_config.parallel_config.data_parallel_rank	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-44a41ee8a4fa	config_attribute_candidate	self.vllm_config.scheduler_config	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-c8150c1ea104	config_attribute_candidate	vllm_config.cache_config	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-019e0dc099a2	config_attribute_candidate	vllm_config.cache_config.kv_sharing_fast_prefill	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-f666ad449056	config_attribute_candidate	vllm_config.model_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-3b7879422eee	config_attribute_candidate	vllm_config.model_config.dtype	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-d902ca1687ff	config_attribute_candidate	vllm_config.model_config.hf_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-5cd2276f5dce	config_attribute_candidate	vllm_config.model_config.hf_config.get_text_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-49bca7915477	config_attribute_candidate	vllm_config.model_config.hf_text_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-efc29feba5e0	config_attribute_candidate	vllm_config.model_config.max_model_len	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-210eacc913e6	config_attribute_candidate	vllm_config.model_config.multimodal_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-767912c6ed96	config_attribute_candidate	vllm_config.model_config.try_get_generation_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-d2429483b60c	config_attribute_candidate	vllm_config.model_config.use_mla	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-e013df90c48d	config_attribute_candidate	vllm_config.parallel_config	C04,M07,M08,N09	CPU/source; GPU cells only as listed in v029-port.md	Rank and routing ownership; TP1 tested, multi-rank coverage CPU-only.
boundary-group-10af448ed986	config_attribute_candidate	vllm_config.quant_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-8036d7a7b415	config_attribute_candidate	vllm_config.scheduler_config	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-833c67ca30f7	config_attribute_candidate	vllm_config.scheduler_config.max_num_batched_tokens	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-656e5055aa07	config_attribute_candidate	vllm_config.speculative_config	C06,S03,S04,M06	CPU/source; GPU cells only as listed in v029-port.md	Scheduling/cache/speculation may change row bases; preserve explicit guards.
boundary-group-2742eacfb8c0	config_attribute_candidate	vllm_config.use_v2_model_runner	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-04dcb9f6b1b0	config_attribute_candidate	vllm_config.with_hf_config	C01,C02,M02,M14	CPU/source; GPU cells only as listed in v029-port.md	Model/config dependency; text-config extraction and variant-specific rejection are not GPU qualification.
boundary-group-bc165476aa5f	copied_model_implementation	DMIApertusForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-effa6ee56da3	copied_model_implementation	DMIDeepseekV4ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-2c5183ec4a00	copied_model_implementation	DMIErnie4_5ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-73cc4ce5f7b2	copied_model_implementation	DMIGPT2LMHeadModel	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-c066e86df529	copied_model_implementation	DMIGemma3ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-56465838391f	copied_model_implementation	DMIGemma4ForConditionalGeneration	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-a980e4cd1e78	copied_model_implementation	DMIGlmMoeDsaForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-147c475fa495	copied_model_implementation	DMIGptOssForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-ef1288ef29dc	copied_model_implementation	DMIGraniteForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-15d5e4c57758	copied_model_implementation	DMIKimiK3ForConditionalGeneration	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-c71ae6d58eef	copied_model_implementation	DMILlama4ForConditionalGeneration	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-d4d7b50421ab	copied_model_implementation	DMILlamaForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-39402aaae65d	copied_model_implementation	DMIMiniCPMForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-fb4460f146ed	copied_model_implementation	DMIMiniMaxM2ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-9df17e33aed9	copied_model_implementation	DMIMistralForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-808846dbba1e	copied_model_implementation	DMIPhi3ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-68b678aaf720	copied_model_implementation	DMIQwen2ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-62ca77f96704	copied_model_implementation	DMIQwen2MoeForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-efdf18befa6d	copied_model_implementation	DMIQwen3ForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-64f2896f864a	copied_model_implementation	DMIQwen3MoeForCausalLM	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-9dc22247ed47	copied_model_implementation	DMIQwen3_5ForConditionalGeneration	M01,M02,M03,M04,M10,M11,M14	CPU/source; GPU cells only as listed in v029-port.md	Model constructor/forward/loader audit is separate from importability; no checkpoint pass inferred.
boundary-group-b523fbc8c6a5	environment_key	DMX_CH_MAX_BATCH_BYTES	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-3ff2393cf39c	environment_key	DMX_CH_MAX_BATCH_ITEMS	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-8392ebb2ed18	environment_key	DMX_CH_PARALLELISM	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-6cde947f733e	environment_key	DMX_DB_DATABASE	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-b30e0115e1ea	environment_key	DMX_DB_HOST	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-904ffd8f1b0b	environment_key	DMX_DB_PORT	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-5c77c77dd19d	environment_key	DMX_DB_TABLE	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-501198c621a8	environment_key	DMX_DRAIN_FLUSH_TIMEOUT_US	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-efbd260af5e4	environment_key	DMX_GPU_PADDING_STRIP	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-94915d304287	environment_key	DMX_HOOK_SELECTION	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-e79775491450	environment_key	DMX_MODEL_ID	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-839aa9048eba	environment_key	DMX_NULL_MODE	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
boundary-group-537eec487ee8	environment_key	DMX_RING_PAYLOAD_MB	C03,N12,L01	CPU/source; GPU cells only as listed in v029-port.md	DMI-owned option transport, not an upstream environment variable.
